from,to,weight,season
mainz,1,50,2021
nürnberg,33,3,2019
stuttgart,42,,2021
london,5,30,2022
hannover,2,40,2020
iwata,37,1,2021
zagreb,24,60,2018
freiburg,15,10,2020
hamburg,23,,2019
st truiden,3,20,2020
kiel,16,8,2019
turin,32,2,2021
chelsea,6,4,2020
monaco,8,20,2021
sandhausen,28,,2021
paris,14,80,2019
bielefeld,30,,2019
düsseldorf,11,,2020
sandhausen,20,30,2019
córdoba,31,20,2019
stuttgart,25,,2020
istanbul,34,,2021
wolfsburg,10,,2018
paris,7,,2019
paderborn,22,30,2021
maria enzersdorf,9,20,2019
lissabon ,18,5,2022
wolfsburg,17,,2021
vejle,19,50,2021
stuttgart,50,,2022
stuttgart,44,,2021
,,,
1,deutschland,,
33,deutschland,,
42,deutschland,,
5,griechenland,,
2,deutschland,,
2,usbekistan,,
37,japan,,
24,deutschland,,
24,kroatien,,
15,deutschland,,
23,belgien,,
23,kongo,,
3,japan,,
16,deutschland,,
32,frankreich,,
32,komoren,,
6,england,,
6,kongo,,
8,frankreich,,
8,martinique,,
28,dänemark,,
28,ghana,,
14,kongo,,
30,deutschland,,
30,italien,,
11,deutschland,,
20,deutschland,,
31,deutschland,,
31,argentinien,,
25,deutschland,,
34,türkei,,
10,deutschland,,
10,benin,,
7,frankreich,,
7,elfenbeinküste,,
22,deutschland,,
9,österreich,,
9,serbien,,
18,portugal,,
17,ägypten,,
17,kanada,,
19,dänemark,,
19,afghanistan,,
50,frankreich,,
50,kamerun,,
44,niederlande,,
44,sierra leone,,
