id,name,country,type
1,florian müller,deutschland,1
mainz,mainz 05,deutschland,2
33,fabian bredlow,deutschland,1
nürnberg,fc nürnberg,deutschland,2
42,florian schock,deutschland,1
stuttgart,vfb stuttgart,deutschland,2
5,konstantinos mavropanos,griechenland,1
london,fc arsenal,england,2
2,waldemar anton,deutschland,1
hannover,hannover 96 ,deutschland,2
37,hiroki ito,japan,1
iwata,júbilo iwata,japan,2
24,borna sosa,kroatien,1
zagreb,dinamo zagreb,kroatien,2
15,pascal stenzel,deutschland,1
freiburg,sc freiburg,deutschland,2
23,orel mangala,belgien,1
hamburg,hamburger sv,deutschland,2
3,wataru endo,japan,1
st truiden,vv st truiden,belgien,2
16,atakan karazor,deutschland,1
kiel,holstein kiel,deutschland,2
32,naouriou ahamada,frankreich,1
turin,juventus ,italien,2
6,clinton mola,england,1
chelsea,chelsea,england,2
8,enzo millot,frankreich,1
monaco,as monaco,frankreich,2
28,nikolas nartey,dänemark,1
sandhausen,sv sandhausen,deutschland,2
14,silas katompa mvumpa,kongo,1
paris,paris fc,frankreich,2
30,roberto massimo,deutschland,1
bielefeld,arminia bielefeld,deutschland,2
11,erik thommy,deutschland,1
düsseldorf,f düsseldorf,deutschland,2
20,philipp förster,deutschland,1
sandhausen,sv sandhausen,deutschland,2
31,mateo klimowicz,deutschland,1
córdoba,instituto ac,argentinien,2
25,lilian egloff,deutschland,1
stuttgart,vfb stuttgart,deutschland,2
34,ömer beyaz,türkei,1
istanbul,fenerbahce,türkei,2
10,daniel didavi,deutschland,1
wolfsburg,vfl wolfsburg,deutschland,2
7,tanguy coulibaly,deutschland,1
paris,paris sg,frankreich,2
22,chris führich,deutschland,1
paderborn,sc paderborn,deutschland,2
9,sasa kalajdzic,österreich,1
maria enzersdorf,admira wacker,österreich,2
18,tiago tomás,portugal,1
lissabon,sporting lissabon,portugal,2
17,omar marmoush,ägypten,1
wolfsburg,vfl wolfsburg,deutschland,2
19,wahid faghir,dänemark,1
vejle,vejle bk,dänemark,2
50,alexis tibidi,frankreich,1
stuttgart,vfb stuttgart,deutschland,2
44,mohamed sankoh,niederlande,1
stuttgart,vfb stuttgart,deutschland,2
